match,league,date,market,selection,model_prob,bookmaker_odds,implied_prob,edge,kelly_stake,confidence,timestamp
Caen vs Beerschot VA,Ла Лига,2026-02-27,20:00,Исход,Ничья (X),0.6122,3.25,0.3077,0.3045,109.95,🔥 ВЫСОКАЯ,2026-02-26T20:13:45
Caen vs Beerschot VA,Ла Лига,2026-02-27,20:00,Тотал,Меньше 2.5,0.9769,1.63,0.6135,0.3634,235.05,🔥 ВЫСОКАЯ,2026-02-26T20:13:45
Rayo Vallecano de Madrid vs Athletic Club,Ла Лига,2026-02-28,13:00,Тотал,Больше 2.5,0.6863,2.44,0.4098,0.2765,117.11,🔥 ВЫСОКАЯ,2026-02-26T20:13:46
Barcelona vs Villarreal CF,Ла Лига,2026-02-28,15:15,Тотал,Больше 2.5,0.8866,1.25,0.8,0.0866,108.24,🔥 ВЫСОКАЯ,2026-02-26T20:13:46
Barcelona vs Villarreal CF,Ла Лига,2026-02-28,15:15,Тотал,Больше 3.5,0.7539,1.79,0.5587,0.1952,110.59,🔥 ВЫСОКАЯ,2026-02-26T20:13:46
Real Oviedo vs Club Atlético de Madrid,Ла Лига,2026-02-28,20:00,Исход,Победа хозяев (1),0.7244,6.2,0.1613,0.5631,167.85,🔥 ВЫСОКАЯ,2026-02-26T20:13:48
Real Oviedo vs Club Atlético de Madrid,Ла Лига,2026-02-28,20:00,Тотал,Больше 2.5,0.899,2.15,0.4651,0.4339,202.78,🔥 ВЫСОКАЯ,2026-02-26T20:13:48
V-varen Nagasaki vs RCD Espanyol de Barcelona,Ла Лига,2026-03-01,13:00,Исход,Ничья (X),0.5142,3.31,0.3021,0.2121,75.97,🔥 ВЫСОКАЯ,2026-02-26T20:14:03
V-varen Nagasaki vs RCD Espanyol de Barcelona,Ла Лига,2026-03-01,13:00,Тотал,Меньше 2.5,0.9414,1.88,0.5319,0.4095,218.69,🔥 ВЫСОКАЯ,2026-02-26T20:14:03
Valencia CF vs CA Osasuna,Ла Лига,2026-03-01,15:15,Исход,Победа хозяев (1),0.5129,2.5,0.4,0.1129,47.06,✅ СРЕДНЯЯ,2026-02-26T20:14:03
